code;canonical;country;state;city;name
PEN;PEN;USA;PA ;GRANTVILLE;PENN NATIONAL
PHA;PHA;USA;PA ;BENSALEM;PHILADELPHA PARK
PIC;PIC;CAN;ON ;AJAX;PICOV DOWNS
PID;PID;USA;PA ;ERIE;PRESQUE ISLE DOWNS
PIM;PIM;USA;MD ;BALTIMORE;PIMLICO
PLA;PLA;USA;WA ;SPOKANE;PLAYFAIR
PLN;PLN;USA;CA ;PLEASANTON;PLEASANTON
PM ;PM ;USA;OR ;PORTLAND;PORTLAND MEADOWS
PMB;PMB;USA;FL ;PALM BEACH;PALM BEACH POLO CLUB
PMT;PMT;USA;GA ;PINE MOUNTAIN;PINE MTN-CALLAWAY GARDEN
PNL;PNL;USA;MI ;HURON TOWNSHIP;PINNACLE RACE COURSE
POD;POD;USA;ID ;POCATELLO;POCATELLO DOWNS
PPK;PPK;USA;FL ;POMPANO BEACH;POMPANO PARK
PPM;PPM;USA;CO ;FOUNTAIN;PIKES PEAK MEADOWS
PRE;PRE;USA;AZ ;PRESCOTT;PRESCOTT DOWNS
PRM;PRM;USA;IA ;ALTOONA;PRAIRIE MEADOWS
PRO;PRO;USA;KY ;PROSPECT;PROSPECT
PRP;PRP;USA;IL ;GIBSON CITY;PIT RUN PARK
PRV;PRV;USA;OR ;PRINEVILLE;CROOKED RIVER ROUNDUP
PRX;PHA;USA;PA ;BENSALEM;PARX RACING
PW ;PW ;USA;TN ;NASHVILLE;PERCY WARNER
QD ;QD ;USA;NE ;HASTINGS;QUEEN CITY DOWNS (QH TRACK)
RAV;RAV;USA;MT ;HAMILTON;RAVALLI COUNTY FAIR
RB ;RB ;USA;NJ ;RED BANK;RED BANK
RD ;RD ;USA;OH ;CINCINNATI;RIVER DOWNS
RDA;RDA;CAN;AB ;RED DEER;WESTERNER EXH. ASSOC.
RDM;RDM;USA;KY ;LEXINGTON;RED MILE
RDP;RDP;CAN;AB ;RED DEER;RED DEER PARK
RET;RET;USA;TX ;SAN ANTONIO;RETAMA PARK
RIL;RIL;USA;AZ ;TUCSON;RILLITO
RKM;RKM;USA;NH ;SALEM;ROCKINGHAM PARK
RM ;RM ;USA;OK ;ADA;ROSS MEADOWS
ROP;ROP;USA;CO ;TRINIDAD;ROUND UP PARK
RP ;RP ;USA;OK ;OKLAHOMA CITY;REMINGTON PARK
RPD;RPD;CAN;MB ;ROSSBURN;ROSSBURN PARKLAND DOWNS
RUI;RUI;USA;NM ;RUIDOSO DOWNS;RUIDOSO DOWNS
RUP;RUP;USA;ID ;RUPERT;RUPERT DOWNS
SA ;SA ;USA;CA ;ARCADIA;SANTA ANITA PARK
SAC;SAC;USA;CA ;SACRAMENTO;SACRAMENTO
SAF;SAF;USA;AZ ;SAFFORD;GRAHAM COUNTY FAIR @ SAFFORD
SAL;SAL;USA;OR ;SALEM;SALEM
SAR;SAR;USA;NY ;SARATOGA SPRINGS;SARATOGA
SDY;SDY;USA;ID ;IDAHO FALLS;SANDY DOWNS
SFE;SFE;USA;NM ;SANTA FE;SANTA FE
SH ;SH ;USA;VA ;RICHMOND;STRAWBERRY HILL
SHW;SHW;USA;MD ;BUTLER;SHAWAN DOWNS
SJ ;SJ ;USA;AZ ;ST. JOHNS;APACHE COUNTY FAIR @ ST. JOHNS
SJD;SJD;USA;NM ;FARMINGTON;SAN JUAN DOWNS
SLR;SLR;USA;CA ;BONSALL;SAN LUIS REY TRAINING CENTER
SND;SND;CAN;BC ;PRINCETON;SUNFLOWER
SOL;SOL;USA;CA ;VALLEJO;SOLANO
SON;SON;USA;AZ ;SONOITA;SANTA CRUZ COUNTY FAIR @ SONOITA
SOP;SOP;USA;NC ;SOUTHERN PINES;SOUTHERN PINES
SPG;SPG;USA;IL ;SPRINGFIELD;ILLINOIS STATE FAIR
SPT;SPT;USA;IL ;CICERO;SPORTSMAN'S PARK
SR ;SR ;USA;CA ;SANTA ROSA;SANTA ROSA
SRP;SRP;USA;NM ;FARMINGTON;SUNRAY PARK
STK;STK;USA;CA ;STOCKTON;STOCKTON
STL;STL;USA;MO ;ST. LOUIS;ST LOUIS
STN;STN;USA;NC ;RAEFORD;STONEYBROOK AT FIVE POINTS
STP;STP;CAN;AB ;CALGARY;STAMPEDE PARK
SUD;SUD;USA;WA ;KENNEWICK;SUN DOWNS
SUF;SUF;USA;MA ;EAST BOSTON;SUFFOLK DOWNS
