code;canonical;country;state;city;name
SJU;SJU;ARG;;;SAN JUAN
SKB;SKB;AUS;;;STREAKY BAY
SLB;SLB;FR ;;;SAUMUR-LE-BREIL
SLG;SLG;FR ;;;SILLE-LE-GUILLAUME
SLI;SLI;IRE;;;SLIGO
SLL;SLL;FR ;;;SEICHES-SUR-LE-LOIR
SLO;SLO;FR ;;;SAINT-LO
SLP;SLP;PHI;;;SAN LAZARO LEISURE PARK
SLU;SLU;POL;;;SLUZEWIEC
SMD;SMD;AUS;;;STAMFORD
SML;SML;FR ;;;SAINT-MAIXENT-L'ECOLE
SMT;SMT;AUS;;;SMITHTON
SNH;SNH;AUS;;;LADBROKES PARK SANDOWN HILLSIDE
SNL;SNL;AUS;;;SANDOWN LAKESIDE
SNP;SNP;FR ;;;SENONNES-POUANCE
SOR;SOR;BRZ;;;JOCKEY CLUB OF SOROCABA
SOU;SOU;ENG;;;SOUTHWELL
SP ;SP ;TRI;;;SHIRVAN PARK
SPC;SPC;FR ;;;SAINT-PIERRE-LA-COUR
SPD;SPD;FR ;;;SAINT-PIERRE-SUR-DIVES
SPK;SPK;AUS;;;SALTBUSH PARK
SPL;SPL;FR ;;;SAINT-POL-DE-LEON
SPR;SPR;FR ;;;SAINT PAIR
SPY;SPY;AUS;;;SPREYTON
SRI;SRI;VEN;;;SANTA RITA
SRT;SRT;AUS;;;SURAT
SS ;SS ;ITY;;;SASSARI
SSC;SSC;FR ;;;SERRA DI SCOPAMENE
SSL;SSL;FR ;;;SAINT-SATURNIN-DU-LIMET
SSO;SSO;ITY;;;IPPODROMO DI SAN SIRO
SSR;SSR;AUS;;;SPRINGSURE
SSS;SSS;FR ;;;SABLE-SUR-SARTHE
ST ;ST ;HK ;;;SHA TIN
STA;STA;ENG;;;STRATFORD ON AVON
STB;STB;AUS;;;STRATHALBYN
STC;STC;FR ;;;SAINT CLOUD
STE;STE;BEL;;;STERREBEEK
STF;STF;ARG;;;SANTA FE
STM;STM;FR ;;;SAINT-MALO
STR;STR;FR ;;;STRASBOURG
STS;STS;FR ;;;SAINTES
STV;STV;GER;;;STOVE IN HAMBURG
STW;STW;AUS;;;STAWELL
SWC;SWC;AUS;;;SWIFTS CREEK
SWH;SWH;AUS;;;SWAN HILL
TAB;TAB;SWE;;;TABY
TAK;TAK;JPN;;;TAKASAKI
TAL;TAL;AUS;;;TALMOI
TAN;TAN;ARG;;;HIPODROMO DE TANDIL
TAP;TAP;NZ ;;;TAUPO
TAR;TAR;BRZ;;;TARUMA
TAT;TAT;AUS;;;TATURA
TAU;TAU;ENG;;;TAUNTON
TBY;TBY;AUS;;;TUMBY BAY
TC ;TC ;ITY;;;TAGLIACOZZO
TCK;TCK;AUS;;;TENNANT CREEK
TEA;TEA;NZ ;;;TE AROHA
TEC;TEC;COL;;;TECHO
TEK;TEK;NZ ;;;TE TEKO
TEP;TEP;ENG;;;TEESSIDE PARK
TER;TER;NZ ;;;TE RAPA
TEW;TEW;NZ ;;;TE AWAMUTU
TEX;TEX;AUS;;;TEXAS
TFF;TFF;SAF;;;TURFFONTEIN
THA;THA;NZ ;;;THAMES
THE;THE;AUS;;;THEODORE
THI;THI;ENG;;;THIRSK
THL;THL;AUS;;;TOWER HILL
THN;THN;AUS;;;THANGOOL
THO;THO;FR ;;;THOUARS
THU;THU;IRE;;;THURLES
TIA;TIA;MEX;;;TIAJUANA
TIP;TIP;IRE;;;TIPPERARY
TKA;TKA;NZ ;;;TE KAPUA
TKP;TKP;NZ ;;;TE KUPENGA
TKU;TKU;NZ ;;;TAUHERENIKAU
TLB;TLB;AUS;;;TULLIBIGEAL
TLW;TLW;AUS;;;TALWOOD
TMB;TMB;AUS;;;TAMBO
TMC;TMC;AUS;;;TIMBER CREEK
TMG;TMG;AUS;;;TOMINGLEY
TMP;TMP;AUS;;;TOM PRICE
TMT;TMT;AUS;;;TUMUT
TMU;TMU;NZ ;;;TIMARU
TNK;TNK;NZ ;;;TARANAKI
TOB;TOB;TRI;;;TOBAGO
TOC;TOC;AUS;;;TOCUMWAL
TOD;TOD;AUS;;;TOODYAY
TOK;TOK;JPN;;;TOKYO
TOO;TOO;AUS;;;TOOWOOMBA
TOR;TOR;ITY;;;TOR DI QUINTO
TOU;TOU;FR ;;;TOULOUSE
TOW;TOW;ENG;;;TOWCESTER
TPN;TPN;NZ ;;;TAPANUI
TQ ;TQ ;ITY;;;TOR DI QUINTO
TRA;TRA;IRE;;;TRALEE
TRC;TRC;FR ;;;THOUARCE
TRE;TRE;NZ ;;;TRENTHAM
TRN;TRN;AUS;;;TRANGIE
TRO;TRO;ITY;;;TORINO
TRS;TRS;FR ;;;TOURS
TRU;TRU;AUS;;;TRUNDLE
TSP;TSP;AUS;;;THREE SPRINGS
TTH;TTH;AUS;;;TOTTENHAM
TUC;TUC;ARG;;;TUCUMAN
TUL;TUL;AUS;;;TULLAMORE
TUM;TUM;AUS;;;TUMBARUMBA
TUN;TUN;AUS;;;TUNCURRY
TV ;TV ;ITY;;;TREVISO
TWG;TWG;AUS;;;TOWONG
TWH;TWH;AUS;;;TWIN HILLS
UDH;UDH;IND;;;UDHAGAMANDALAM
UP ;UP ;TRI;;;UNION PARK
UTS;UTS;JPN;;;UTSUNOMIYA
UTT;UTT;ENG;;;UTTOXETER
VAA;VAA;SAF;;;VAAL
VAL;VAL;VEN;;;VALENCIA
VAN;VAN;FR ;;;VANNES
VAR;VAR;ITY;;;VARESE
VBI;VBI;FR ;;;VIC-BIGORRE
VCY;VCY;FR ;;;VICHY
VDM;VDM;FR ;;;VILLENEUVE-DE-MARSAN
VDT;VDT;ARG;;;VENADO TUERTO
VEE;VEE;GER;;;VEEN
VEL;VEL;GER;;;VELDEN
VEN;VEN;FR ;;;VENACO
VES;VES;FR ;;;VESOUL
VFE;VFE;FR ;;;VIC-FEZENSAC
VHY;VHY;FR ;;;VICHY
VI ;VI ;ITY;;;VIGNANELLO
VIE;VIE;AUT;;;VIENNA
VIM;VIM;FR ;;;VIMOUTIERS
VIR;VIR;FR ;;;VIRE
VIT;VIT;FR ;;;VITRE
VP ;VP ;AUS;;;VICTORIA PARK
VRN;VRN;FR ;;;VERNON
VSC;VSC;CHI;;;VALPARAISO SPORTING CLUB
VSL;VSL;FR ;;;VILLENEUVE-SUR-LOT
VTL;VTL;FR ;;;VITTEL
VTX;VTX;FR ;;;VITTEAUX
VYS;VYS;FR ;;;VICHY SOIR
WAD;WAD;GER;;;WARENDORF
WAG;WAG;AUS;;;WAGGA
WAI;WAI;NZ ;;;WAIKATO
WAK;WAK;NZ ;;;WAIKOUAITI
WAL;WAL;GER;;;WALLDORF
WAM;WAM;NZ ;;;WAIMATE
WAN;WAN;NZ ;;;WANGANUI
WAP;WAP;NZ ;;;WAIPUKURAU
WAR;WAR;ENG;;;WARWICK
WAS;WAS;NZ ;;;WASHDYKE
WAT;WAT;NZ ;;;WATERLEA
WAV;WAV;NZ ;;;WAVERLEY
WCH;WCH;AUS;;;WALCHA
WCP;WCP;AUS;;;WAUCHOPE
WDA;WDA;AUS;;;WALLABADAH
WDD;WDD;AUS;;;WOODEND
WDH;WDH;AUS;;;WINDORAH
WEA;WEA;AUS;;;WEAN
WEL;WEL;NZ ;;;WELLINGTON
WEN;WEN;AUS;;;WENTWORTH
WER;WER;AUS;;;WERRIBEE
WES;WES;NZ ;;;WESTPORT
WET;WET;ENG;;;WETHERBY
WEX;WEX;IRE;;;WEXFORD
WF ;WF ;AUS;;;WARWICK FARM
WHY;WHY;AUS;;;WHYALLA
WIN;WIN;ENG;;;WINCANTON
WIS;WIS;FR ;;;WISSEMBOURG
WIT;WIT;AUS;;;WITTENOOM GORGE
WKB;WKB;AUS;;;WARRACKNABEAL
WLD;WLD;AUS;;;WARIALDA
WLG;WLG;AUS;;;WALGETT
WLL;WLL;AUS;;;WELLINGTON
WLN;WLN;AUS;;;WILUNA
WLP;WLP;AUS;;;WILPEENA
WMA;WMA;AUS;;;WOOLAMAI
WNB;WNB;AUS;;;WARRNAMBOOL
WND;WND;AUS;;;WANDOAN
WNG;WNG;AUS;;;WINGHAM
WNN;WNN;AUS;;;WINNING
WOD;WOD;AUS;;;WODONGA
WOL;WOL;ENG;;;WOLVERHAMPTON
WON;WON;AUS;;;WONDAI
WOO;WOO;NZ ;;;WOODVILLE
WOR;WOR;ENG;;;WORCESTER
WOW;WOW;AUS;;;WOWAN
WPA;WPA;NZ ;;;WAIPA
WRA;WRA;NZ ;;;WAIROA
WRR;WRR;AUS;;;WARREN
WRW;WRW;AUS;;;WARWICK
WYA;WYA;AUS;;;WYANDRA
WYC;WYC;AUS;;;MOUNT WYCHEPROOF
WYN;WYN;NZ ;;;WYNDHAM
XXX;XXX;XXX;;;UNKNOWN TRACK
YAL;YAL;AUS;;;YALGOO
YAR;YAR;ENG;;;GREAT YARMOUTH
YAS;YAS;AUS;;;YASS
YEA;YEA;AUS;;;YEA
YEP;YEP;AUS;;;YEPPOON
YGH;YGH;AUS;;;YARRA GLEN & LILYDALE HC
YGL;YGL;AUS;;;YARRA GLEN
YKA;YKA;AUS;;;YARAKA
YNG;YNG;AUS;;;YOUNG
YOR;YOR;ENG;;;YORK
YRK;YRK;AUS;;;YORK
YVL;YVL;AUS;;;YARRA VALLEY
ZAR;ZAR;SPA;;;LA ZARZUELA
ZON;ZON;FR ;;;ZONZA
ZWE;ZWE;GER;;;ZWEIBRUCKEN
